高级数据分析师,平凉路,1天前发布,达达集团,25k-35k,25k-35k 经验5-10年 / 本科,
数据分析师,东外滩,1天前发布,达达集团,15k-25k,15k-25k 经验3-5年 / 本科,
资深数据分析师,黄浦区,15:36发布,字节跳动,20k-40k,20k-40k 经验1-3年 / 本科,
数据分析师,徐汇区,15:23发布,字节跳动,15k-30k,15k-30k 经验1-3年 / 本科,
高级数据分析师,漕河泾,1天前发布,Shopee,18k-35k·14薪,18k-35k·14薪 经验3-5年 / 本科,
数据分析师（文本数据建模）,张江,15:06发布,上海浩宜信息科技有限公司,6k-8k,6k-8k 经验1-3年 / 本科,
数据分析,张江,21:23发布,CLPS,16k-25k,16k-25k 经验1-3年 / 硕士,
数据分析师,浦东新区,14:07发布,海万科技,9k-18k,9k-18k 经验3-5年 / 本科,
高级数据分析师,闵行区,20:06发布,触宝,20k-40k,20k-40k 经验3-5年 / 本科,
资深数据分析师,漕宝路,19:39发布,企鹅杏仁,20k-40k,20k-40k 经验5-10年 / 本科,
数据分析师,金桥,19:13发布,咪咕,15k-25k·15薪,15k-25k·15薪 经验5-10年 / 本科,
数据分析师,东明路,17:58发布,新浪时金,10k-15k·13薪,10k-15k·13薪 经验1-3年 / 本科,
数据分析,浦东新区,17:33发布,掌门集团,15k-20k,15k-20k 经验1-3年 / 本科,
数据分析师,浦东新区,17:51发布,掌门集团,20k-35k,20k-35k 经验5-10年 / 本科,
数据分析师,普陀区,17:46发布,众标智能科技,7k-11k,7k-11k 经验1-3年 / 本科,
数据分析师,张江,13:32发布,新萌网络,15k-25k,15k-25k 经验1-3年 / 本科,
数据分析师,闵行区,17:35发布,么么直播,8k-15k,8k-15k 经验1-3年 / 本科,
数据分析师,长宁区,17:40发布,樊登读书,10k-15k,10k-15k 经验1-3年 / 本科,
高级数据分析师,静安寺,17:31发布,Gridsum 国双,10k-20k,10k-20k 经验3-5年 / 本科,
数据分析师,东方路,17:11发布,上海嘉银金融科技股份有限公司,15k-25k,15k-25k 经验1年以下 / 本科,
数据分析师,青浦区,16:52发布,算话智能科技有限公司,12k-16k,12k-16k 经验1-3年 / 本科,
数据分析师,北外滩,16:38发布,掌门1对1在线教育,12k-24k,12k-24k 经验3-5年 / 本科,
数据分析师,徐家汇,16:06发布,久谦咨询,12k-20k,12k-20k 经验不限 / 本科,
到店技术-数据分析师,长宁区,20:00发布,美团点评,25k-50k,25k-50k 经验1-3年 / 本科,
